Text,Bounding_Boxes
cofulteall,"[[4690.5166 1789.8662]
 [4840.885  1789.8662]
 [4840.885  1809.2686]
 [4690.5166 1809.2686]]"
livil,"[[ 960.416  1794.7168]
 [ 999.2207 1794.7168]
 [ 999.2207 1814.1191]
 [ 960.416  1814.1191]]"
edd,"[[4375.2285 1794.7168]
 [4409.1826 1794.7168]
 [4409.1826 1814.1191]
 [4375.2285 1814.1191]]"
ves,"[[4418.884  1794.7168]
 [4467.3896 1794.7168]
 [4467.3896 1818.9697]
 [4418.884  1818.9697]]"
cess,"[[4472.24   1794.7168]
 [4515.8955 1794.7168]
 [4515.8955 1814.1191]
 [4472.24   1814.1191]]"
cefer,"[[ 858.5537  1799.5674 ]
 [ 911.91016 1799.5674 ]
 [ 911.91016 1814.1191 ]
 [ 858.5537  1814.1191 ]]"
run,"[[4273.366  1799.5674]
 [4312.171  1799.5674]
 [4312.171  1814.1191]
 [4273.366  1814.1191]]"
ufdtess,"[[ 858.5537  1818.9697 ]
 [ 950.71484 1818.9697 ]
 [ 950.71484 1838.3721 ]
 [ 858.5537  1838.3721 ]]"
fug,"[[ 960.416  1818.9697]
 [ 999.2207 1818.9697]
 [ 999.2207 1838.3721]
 [ 960.416  1838.3721]]"
snile,"[[4283.0674 1818.9697]
 [4336.424  1818.9697]
 [4336.424  1833.5215]
 [4283.0674 1833.5215]]"
cniemroes,"[[4375.2285 1818.9697]
 [4598.3555 1818.9697]
 [4598.3555 1838.3721]
 [4375.2285 1838.3721]]"
